date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:26	19136/19136	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2017:32:25%20GMT	https://osteria60.webflow.io/	C:/Users/dell/Desktop/barath/food12/osteria60.webflow.io/index.html	(from )
23:02:26	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:32:25%20GMT	https://osteria60.webflow.io/robots.txt		(from )
23:02:27	62381/62381	---M-Z	200	added ('OK')	text/css	etag:%22bac3e92ae9a04eb5d3f2bde9e3589c45%22	https://uploads-ssl.webflow.com/5773cfeac8d072ad1d609dcd/css/osteria60.webflow.86c6feea5.css	C:/Users/dell/Desktop/barath/food12/uploads-ssl.webflow.com/5773cfeac8d072ad1d609dcd/css/osteria60.webflow.86c6feea5.css	(from https://osteria60.webflow.io/)
23:02:28	2012/2012	---M--	200	added ('OK')	image/png	etag:%22cd81b894c9973685d02c985a837cdf5d%22	https://uploads-ssl.webflow.com/5773cfeac8d072ad1d609dcd/577b8d51f4bb5c58573ae48e_Osteria-60-favicon.png	C:/Users/dell/Desktop/barath/food12/uploads-ssl.webflow.com/5773cfeac8d072ad1d609dcd/577b8d51f4bb5c58573ae48e_Osteria-60-favicon.png	(from https://osteria60.webflow.io/)
23:02:29	8433/8433	---M--	200	added ('OK')	image/jpeg	etag:%223cd5f5a549431f08592bf873ee76d4f1%22	https://uploads-ssl.webflow.com/5773cfeac8d072ad1d609dcd/577b8d563dcedd7133c42423_Osteria-60-logo-thumb.jpg	C:/Users/dell/Desktop/barath/food12/uploads-ssl.webflow.com/5773cfeac8d072ad1d609dcd/577b8d563dcedd7133c42423_Osteria-60-logo-thumb.jpg	(from https://osteria60.webflow.io/)
23:02:30	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/dell/Desktop/barath/food12/www.google-analytics.com/analytics.js	(from https://osteria60.webflow.io/)
23:02:30	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:32:30%20GMT	https://osteria60.webflow.io/our-story	C:/Users/dell/Desktop/barath/food12/osteria60.webflow.io/our-story	(from https://osteria60.webflow.io/)
23:02:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:32:31%20GMT	https://osteria60.webflow.io/our-menus	C:/Users/dell/Desktop/barath/food12/osteria60.webflow.io/our-menus	(from https://osteria60.webflow.io/)
23:02:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:32:31%20GMT	https://osteria60.webflow.io/drinks	C:/Users/dell/Desktop/barath/food12/osteria60.webflow.io/drinks	(from https://osteria60.webflow.io/)
23:02:31	16/16	---MC-	502	error ('Bad%20Gateway')	text/plain	date:Thu,%2027%20Oct%202022%2017:32:31%20GMT	https://osteria60.webflow.io/venue-hire	C:/Users/dell/Desktop/barath/food12/osteria60.webflow.io/venue-hire	(from https://osteria60.webflow.io/)
